"Time (s)","Illuminance (lx)"
1.922052284E2,2.780000000E2
1.923852054E2,2.770000000E2
1.925651854E2,2.780000000E2
1.931051184E2,2.790000000E2
1.932850964E2,2.800000000E2
1.936450574E2,2.780000000E2
1.938250374E2,2.770000000E2
1.941849521E2,2.760000000E2
1.945449071E2,2.750000000E2
1.958047601E2,2.740000000E2
1.959847401E2,2.730000000E2
1.968846341E2,2.740000000E2
1.970646141E2,2.750000000E2
1.972445901E2,2.740000000E2
1.974245691E2,2.730000000E2
1.976045451E2,2.720000000E2
1.983245402E2,2.730000000E2
1.985045162E2,2.720000000E2
1.986844942E2,2.710000000E2
1.995843912E2,2.720000000E2
1.999443452E2,2.730000000E2
2.001243272E2,2.720000000E2
2.004842822E2,2.700000000E2
2.006642582E2,2.680000000E2
2.015641768E2,2.670000000E2
2.019241308E2,2.680000000E2
2.021041078E2,2.670000000E2
2.028240268E2,2.680000000E2
2.030040028E2,2.690000000E2
2.031839818E2,2.680000000E2
2.039038948E2,2.690000000E2
2.042638498E2,2.680000000E2
2.048037898E2,2.670000000E2
2.057037447E2,2.680000000E2
2.071435747E2,2.670000000E2
2.103832153E2,2.660000000E2
2.109231523E2,2.650000000E2
2.118230383E2,2.640000000E2
2.123629823E2,2.650000000E2
2.127230286E2,2.640000000E2
2.136229256E2,2.660000000E2
2.148827706E2,2.650000000E2
2.152427346E2,2.640000000E2
2.156026896E2,2.630000000E2
2.174024326E2,2.640000000E2
2.177623876E2,2.650000000E2
2.179423636E2,2.660000000E2
2.181223426E2,2.650000000E2
2.183023186E2,2.640000000E2
2.184823066E2,2.630000000E2
2.206421299E2,2.640000000E2
2.211820609E2,2.650000000E2
2.215420159E2,2.670000000E2
2.217219979E2,2.660000000E2
2.222619279E2,2.640000000E2
2.224419059E2,2.650000000E2
2.226218879E2,2.640000000E2
2.228018709E2,2.650000000E2
2.235217831E2,2.640000000E2
2.237017621E2,2.650000000E2
2.238817471E2,2.640000000E2
2.240617251E2,2.650000000E2
2.246016571E2,2.660000000E2
2.249616151E2,2.680000000E2
2.258615071E2,2.670000000E2
2.267613991E2,2.680000000E2
2.278413421E2,2.690000000E2
2.287412381E2,2.700000000E2
2.289212171E2,2.710000000E2
2.291011991E2,2.700000000E2
2.294611571E2,2.690000000E2
2.296411361E2,2.700000000E2
2.305410081E2,2.710000000E2
2.309009631E2,2.700000000E2
2.310809421E2,2.710000000E2
2.312609251E2,2.700000000E2
2.316208821E2,2.720000000E2
2.318008611E2,2.710000000E2
2.321608141E2,2.720000000E2
2.327007501E2,2.710000000E2
2.328807271E2,2.700000000E2
2.348605671E2,2.690000000E2
2.350405441E2,2.700000000E2
2.354004991E2,2.710000000E2
2.357604571E2,2.690000000E2
2.361204121E2,2.680000000E2
2.363003901E2,2.690000000E2
2.364803671E2,2.680000000E2
2.372002861E2,2.670000000E2
2.375602411E2,2.660000000E2
2.382801809E2,2.650000000E2
2.384601569E2,2.660000000E2
2.386401359E2,2.650000000E2
2.388201229E2,2.660000000E2
2.393600559E2,2.640000000E2
2.395400319E2,2.630000000E2
2.397200109E2,2.620000000E2
2.398999969E2,2.610000000E2
2.400799749E2,2.590000000E2
2.402599509E2,2.580000000E2
2.406199059E2,2.570000000E2
2.407998849E2,2.580000000E2
