"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.744525073E2,5.238557101E1,5.205931663E0,6.656900987E0,2.165892124E0,1.934149475E2,4.000000000E0,0.000000000E0
1.754399137E2,5.238554989E1,5.205922773E0,6.650771439E0,2.191751003E0,1.930213470E2,4.000000000E0,0.000000000E0
1.764562726E2,5.238552887E1,5.205914768E0,6.644284712E0,2.199866056E0,1.926056213E2,4.000000000E0,0.000000000E0
1.774576190E2,5.238551112E1,5.205908007E0,6.637617595E0,2.206308365E0,1.920603180E2,4.000000000E0,0.000000000E0
1.784420295E2,5.238549291E1,5.205903963E0,6.630449528E0,2.223319054E0,1.961118927E2,4.000000000E0,0.000000000E0
1.794635654E2,5.238547177E1,5.205893391E0,6.623244435E0,2.232438326E0,1.969129028E2,4.000000000E0,0.000000000E0
1.804917873E2,5.238545193E1,5.205882871E0,6.616042158E0,2.247295141E0,1.967338104E2,4.000000000E0,0.000000000E0
1.814572645E2,5.238543173E1,5.205872699E0,6.608645536E0,2.252656221E0,1.921994934E2,4.000000000E0,0.000000000E0
1.824474190E2,5.238541395E1,5.205867511E0,6.600676935E0,2.256047726E0,1.887543030E2,4.000000000E0,0.000000000E0
1.834519625E2,5.238539653E1,5.205863899E0,6.592745744E0,2.195578575E0,1.812516632E2,4.000000000E0,0.000000000E0
1.844725570E2,5.238538543E1,5.205859641E0,6.585096791E0,1.356419086E0,1.818161316E2,4.000000000E0,0.000000000E0
1.854370384E2,5.238538137E1,5.205857584E0,6.576271629E0,9.220561385E-1,1.405568390E2,4.000000000E0,0.000000000E0
1.864429618E2,5.238537846E1,5.205860246E0,6.566394319E0,6.954207420E-1,1.383219452E2,4.000000000E0,0.000000000E0
1.874445687E2,5.238537736E1,5.205863956E0,6.555657721E0,4.857331812E-1,1.383219452E2,3.000000000E0,0.000000000E0
1.884484547E2,5.238537359E1,5.205862390E0,6.545074726E0,4.361003637E-1,1.885322418E2,3.000000000E0,0.000000000E0
1.894418860E2,5.238537009E1,5.205862240E0,6.534732738E0,9.410985112E-1,1.963146210E2,3.000000000E0,0.000000000E0
1.904597657E2,5.238535846E1,5.205856688E0,6.524387323E0,1.328464866E0,2.002041931E2,3.000000000E0,0.000000000E0
1.914387036E2,5.238534521E1,5.205847826E0,6.514034735E0,1.510472536E0,2.087940979E2,3.000000000E0,0.000000000E0
1.924359299E2,5.238533234E1,5.205835913E0,6.503665318E0,1.612879157E0,2.116475677E2,3.000000000E0,0.000000000E0
1.934495538E2,5.238531932E1,5.205822729E0,6.493335266E0,1.675493479E0,1.981006622E2,3.000000000E0,0.000000000E0
1.944383244E2,5.238530283E1,5.205813245E0,6.483196629E0,1.734273791E0,1.958814850E2,3.000000000E0,0.000000000E0
1.954451841E2,5.238528507E1,5.205804421E0,6.473167910E0,1.840607524E0,1.986734619E2,4.000000000E0,0.000000000E0
1.964371699E2,5.238526357E1,5.205792627E0,6.463489836E0,1.920067191E0,1.997813873E2,4.000000000E0,0.000000000E0
1.974554825E2,5.238524256E1,5.205781772E0,6.454189943E0,1.963252068E0,2.021876068E2,4.000000000E0,0.000000000E0
1.984416222E2,5.238522247E1,5.205769937E0,6.445344595E0,1.997139215E0,2.020657349E2,4.000000000E0,0.000000000E0
1.994454535E2,5.238520299E1,5.205758954E0,6.436759370E0,2.019771338E0,2.042679138E2,4.000000000E0,0.000000000E0
2.004603378E2,5.238518349E1,5.205747224E0,6.428400167E0,2.030459881E0,1.984740753E2,4.000000000E0,0.000000000E0
2.014477318E2,5.238516206E1,5.205739315E0,6.420517628E0,2.037219286E0,1.937317810E2,4.000000000E0,0.000000000E0
2.024353419E2,5.238513993E1,5.205733066E0,6.413286704E0,2.038990498E0,1.958209991E2,4.000000000E0,0.000000000E0
2.034674109E2,5.238511956E1,5.205718942E0,6.406798592E0,2.046397209E0,1.974093933E2,4.000000000E0,0.000000000E0
2.044441392E2,5.238509675E1,5.205708875E0,6.400678020E0,2.054036617E0,1.981464539E2,4.000000000E0,0.000000000E0
2.054541323E2,5.238507461E1,5.205698810E0,6.394845704E0,2.060994148E0,1.952094116E2,4.000000000E0,0.000000000E0
2.064540927E2,5.238505298E1,5.205690601E0,6.389449099E0,2.058694601E0,1.958743896E2,4.000000000E0,0.000000000E0
2.074478109E2,5.238503342E1,5.205684006E0,6.384533441E0,2.059916019E0,1.982771454E2,4.000000000E0,0.000000000E0
2.084584004E2,5.238501278E1,5.205675814E0,6.380079849E0,2.057531357E0,1.966087952E2,4.000000000E0,0.000000000E0
2.094584843E2,5.238499278E1,5.205660677E0,6.376361440E0,2.054691076E0,1.973034363E2,4.000000000E0,0.000000000E0
